record_id,fname,lname,stNo,add1,add2,city,areacode,state,dob,ssn
rec-83210-org, jessica, braithwaite, 61, osburn drive, australia fair medical west centre, blair athol, 2154, nsw, 19310402, 8427612
rec-86435-org, , sferco, 24, reuther street, brentwood vlge, bunbury, 4380, vic, 19400521, 2604498
rec-46065-org, finnbar, dods, 25, , centennial glen, mayfield, 5353, nsw, 19630820, 1880250
rec-14613-org, jessica, weaver, 6, illawarra court, the meadows, glenbrook, 2176, nsw, 19880615, 6029804
rec-72447-org, isabella, scerri, 34, druitt place, brightling park, nhill, 3095, vic, 19880604, 4871703
rec-37071-org, esther, garnett, 78, noel ryan garden, ra 23012, thornlie, 6437, vic, 19101225, 7104404
rec-19564-org, eva, schaber, 7, arabana street, greystanes, rosebud, 4215, nsw, 19770105, 8764598
rec-44123-org, gemaley, edson, 29, vonwiller crescent, nazareth village, yarraville, 2116, nsw, 19090709, 9139341
rec-78787-dup-2, sophie, hampn, 14, fuller street, gold ridge, newmarket, 5125, vic, 19300726, 2597219
rec-79827-org, alexandra, mcsorley, 21, shackleton circuit, sunbury, bomaderry, 3162, sa, 19870711, 6271549
rec-81262-org, lucas, browne, 11, de little circuit, old post office, oakleigh, 4132, qld, 19340418, 7279633
rec-75037-dup-1, tuting, seth, 140, bourke street, dunmunkle lodge, athelsyone, 5093, vic, 19560423, 9565920
rec-66078-org, holly, rothe, 3, euree street, comer, molloy island, 5211, qld, 19300504, 8558775
rec-69125-org, katherine, george, 20, archibald street, banksia village, murtoa, 7008, nsw, 19450112, 9597797
rec-1199-org, sarah, jolly, 185, hughes crescent, , westbury, 4151, nsw, 19020820, 1213932
rec-51675-org, shaun, carbone, 2, , selassie house, thornlands, 4800, vic, 19001104, 8712415
rec-94007-org, ethan, constance, 39, osburn drive, paraquilia, para hills, 3380, vic, 19950718, 4541189
rec-68441-dup-1, lewis, cadmf, 81, buik place, caroona village, cambridge gardens, 4870, tas, , 8759293
rec-78160-dup-2, summer, birdling, 77, badenoch crescent, avoneligh, merino, 6150, wa, 19790719, 3638607
rec-13926-org, ella, paterson, 53, armstrong crescent, eden lea, glenbrook, 2170, vic, 19230823, 2421174
rec-45760-org, joshua, glass, 187, hibiscus crescent, bindaree, mooroolbark, 2620, nsw, 19300826, 4449926
rec-72241-org, toby, morrison, 28, fitzgerald street, kimbla, narrandera, 2316, nsw, 19851219, 3079236
rec-89510-org, tiana, kelley, 20, o'halloran circuit, berkeley vlge, mount eliza, 3280, vic, 19610228, 2155191
rec-12223-org, mitchell, every, 10, henry melville crescent, eastwood cottage, burwood, 2088, nsw, 19891230, 5742347
rec-28698-org, ellouise, boyle, , aspinall street, boronia, asquith, 2216, nsw, 19810712, 6228582
rec-7775-org, monique, wilkins, 140, belconnen way, mount sandiman, yarramalong, 2168, vic, 19291004, 4994516
rec-57519-org, luca, godfrey, 40, etheridge street, lassaan, crestmead, 2265, nsw, 19580824, 4703562
rec-9754-org, zachary, reid, 116, hytten place, , plumpton, 2037, nsw, 19600329, 4151014
rec-78689-dup-1, joshua, slack-smith, 18, graceplace, nareen gardons hostel, wynnum west, 6064, nsw, 19461121, 3005201
rec-6468-org, liam, verner, 5, wheeler crescent, the palms village, atherton, 3199, vic, 19961117, 8297984
rec-87325-org, liam, piryak, 55, ogilby crescent, forestvale, campsie, 2017, nsw, 19521101, 6007587
rec-51584-org, katelyn, allsopp, 23, oxley street, high grove, condell park, 7113, nsw, 19950623, 2660415
rec-502-dup-2, angelina, blunedn, 476, painterkplace, doubtful ck, parkdale, 3550, vic, 19000126, 5248044
rec-27992-org, brodie, parremore, 13, vagabond crescent, nareen gardens hostel, coromandel valley, 2487, nsw, 19430521, 3749654
rec-50901-org, jackson, statton, 21, gawler crescent, marylebone, old erowal bay, 2232, vic, 19130409, 6144591
rec-72719-dup-1, andrw, cross well, 34, mckinnon street, extension, bateman, 5169, nsw, 19260222, 5443954
rec-20218-org, eliza, cresp, 845, ormond street, montessa heights, adelong, 2162, qld, 19931204, 5525425
rec-50632-dup-1, nicholas, priest, 20, macrossan csecent, avocado acres, beecroft, 4163, nsw, 19071125, 9426109
rec-9373-dup-0, anthony, coleman, 173, burramurra avenue, john flynn hospital, jerrabomberra, 4557, vic, 19130528, 5722304
rec-7568-dup-0, matthew, ryan, 27, beattie crescent, sherwood, florey, 2706, vic, 19470404, 3634356
rec-93050-org, stephanie, white, , brunswick circuit, glen oak street, lynbrook, 3134, qld, 19690228, 1031199
rec-28691-org, kimberly, agius, 29, harry hopman circuit, merrimac heights, cambooya, 7054, nsw, 19330221, 2021812
rec-14480-org, blake, lember, 14, clift crescent, sheep station, lansdowne, 4304, nsw, 19611108, 7991941
rec-59576-org, jacob, clarke, 21, hudson street, , bayswater, 0812, qld, 19650913, 6250011
rec-11750-org, thomas, shelley, 381, archibald street, kilnacrott, esperance north, 2449, vic, 19870128, 1532628
rec-34871-org, zoe, shepherd, 25, cox street, , londonderry, 6011, vic, 19270714, 2111120
rec-69854-org, shane, paterson, 86, murphy street, , st kilda east, 4066, qld, 19340613, 9840138
rec-30324-org, kaysey, verco, 10, abrahams crescent, mlc centre, maryborough, 3078, sa, 19190223, 8813806
rec-48507-org, claudia, gillard, 22, allchin circuit, warra creek, nollamara, 2287, nsw, 19031031, 3984752
rec-30187-org, william, varcoe, 4, cochrane crescent, liselican, south grafton, 2154, qld, 19011019, 3854192
rec-25770-org, jacob, clarke, 3, finey close, gleneagle, burwood, 3147, qld, 19140307, 1402814
rec-32635-dup-0, annabelle, mccarthy, 17, wilshire street, glenmeagle, camperdown, 3337, vic, 19620403, 9142806
rec-672-dup-1, michelle, ryan, 16, , barklol, box hill south, 3184, vic, 19310414, 4524949
rec-24137-dup-0, datne, campbell, 954, hawker street, sommerset park, surry hills, 3074, nsw, 19580108, 8478951
rec-86135-org, bailey, lays, 1, diamond street, mcivor house, adelaide, 3677, vic, 19370315, 7491078
rec-43802-dup-0, ykle, chorsto, 36, penton place, stjohn of god hospital, ormond, 4069, nsw, 19521207, 8912716
rec-98024-org, rebecca, campbell, 694, mackennal street, the willows, caulfield north, 2444, vic, 19600616, 9976643
rec-76457-org, bailley, hoffman, , bandjalong crescent, sutton, biggera waters, 2068, nsw, 19740326, 9733177
rec-66201-org, hugh, walkley, 7, wattle street, jaholma park, campbelltown, 3149, nsw, 19650116, 4147508
rec-71454-org, matthew, colquhoun, 21, miller street, yaraan, port douglas, 2213, wa, 19700702, 1202887
rec-83735-org, dean, lodge, 13, cooling place, mt callan, dora creek, 4819, nsw, 19890408, 8575342
rec-70643-org, alice, sherriff, 1, burdekin street, dari, pymble, 3073, wa, 19411018, 6665790
rec-37868-org, emiily, nysten, 1, jaru place, urunga caravn park, gwynneville, 2070, wa, 19600806, 2857482
rec-45576-org, hayden, robson, 19, leita court, lazy acres, belmont, 5600, qld, 19041211, 9319064
rec-58261-dup-0, arren, campbell, 8, gosmanclose, greenban k garden, bacchus marsh, 3016, vic, 19760324, 8729617
rec-9594-org, carlin, lowe, 6, bennett street, woodsong, murdoch, 2320, vic, 19201224, 4500682
rec-98456-org, andrew, browne, 52, nemarang crescent, blue hills, lilydale, 4870, nsw, 19081031, 2277830
rec-3707-org, tahnee, maynard, 11, ijong street, nedlyn, spotswood, 2038, vic, 19620412, 7099458
rec-36794-org, pino, ryan, 76, maconochie crescent, kulcutra, moree, 2122, sa, 19170212, 1367994
rec-90742-org, makenzi, richmond, 8, vancouver street, gulmarg, wyoming, 2096, nsw, 19020704, 6768832
rec-77047-dup-0, hannqh, needham, 63, litchfield place, orcadiapark, taralga, 5161, qdl, 19821109, 6509632
rec-15619-org, lydia, mason, 14, longmore crescent, , south wentworthville, 2250, nsw, 19230115, 7713386
rec-72473-org, alia, berry, 5, zeitz court, tesbury, carabooda, 4870, nsw, 19940101, 7029072
rec-58806-org, harrison, campbell, 26, harry hopman circuit, glenmore cottage, winthrop, 7005, vic, 19610503, 4748050
rec-79219-org, alice, white, 9, maclean street, villa 18, ethelton, 3147, wa, 19190102, 5143482
rec-16287-org, tylah, saccardo, 51, gatton street, mt derriwong, modbury, 4125, , 19000306, 8920988
rec-6504-org, ryan, newport, 26, terry close, nioka, brighton, 2042, wa, 19140516, 1663205
rec-63897-dup-2, jacob, urenda, 4, mina wylie bcrescent, sherwood, port lincoln, 2763, nsw, 19790722, 2541363
rec-91660-org, jesse, everett, 21, melrose drive, pine hill, highett, 3437, sa, 19600324, 1083443
rec-67529-org, georgia, nowlan, , couchman crescent, rosetta village, port pirie, 2171, nsw, 19440919, 1599478
rec-91829-org, benjamin, steed, 10, angliss place, the summer place, annandale, 5412, wa, 19380518, 6738956
rec-90243-org, lauren, bristow, , cordeaux street, qunaba, north rocks, 6174, vic, 19770129, 8936418
rec-18151-dup-1, annabel, stephnson, 20, homann place, kookaburra village, ulverstone, 6061, nsw, 19860413, 5420272
rec-74599-org, marianne, paine, 22, catchpole street, st francis vlge, linley point, 6152, qld, 19741026, 5784561
rec-6097-org, ash, webb, 5, buggy crescent, , brighton, 2566, qld, , 7192023
rec-53920-org, alana, nguyen, 9, aspinall street, , highton, 7250, nsw, 19540610, 3643519
rec-34430-org, chelsea, miles, 107, westbury circuit, the olives, ermington, 2517, vic, 19370108, 4967175
rec-90897-org, dylan, carrel, 279, merrit place, allensleigh, tulka, 2777, nsw, 19670507, 1108339
rec-733-org, olivia, egan, 72, badimara street, rowethorpe, forest hill, 2106, nsw, 19040429, 2210504
rec-10936-org, lily, kubenk, 174, miranda place, burnside, northmead, 3156, wa, 19510607, 3135659
rec-46606-org, isaac, goldsworthy, 30, bootle place, wildefell, watervale, 4575, qld, 19690711, 1918588
rec-64659-org, rupert, cochrane, 35, leake place, kurramul, urangan, 3429, act, 19790420, 7201403
rec-6006-org, alex, binns, 2, parrabel place, c/-runaway bay marina, , 2260, nsw, 19160620, 7814043
rec-91755-org, matthew, papij, 31, geils court, glenferrie park, hoppers crossing, 5163, nsw, 19230725, 7759032
rec-2119-dup-0, andrew, crook, , fitchett tsreet, fairbank, eumunidi, 2118, qld, 19660109, 6443521
rec-83246-org, thomas, lowe, 8, macdowell street, nedabiah, goonellabah, 2026, nsw, 19081208, 9977590
rec-89262-org, , stubbs, , bonython street, cascade condo, preston, 3193, vic, 19791002, 5406981
rec-10080-org, madison, , 87, maribyrnong avenue, riverside ret vlg, macgregor, 2147, nsw, 19250607, 1772424
rec-85376-org, naomi, dillion, 16, osburn drive, dromard, st lucia, 3012, nsw, 19970331, 8345184
rec-58704-org, kynan, dixon, 12, burnie street, nesma, blackbutt, 2830, nsw, 19701231, 6937318
rec-64095-org, benjamin, garzo, 4, rosenthal street, , berwick, 3805, vic, 19200203, 9964774
rec-3051-org, alyssa, robson, 7, darling street, arcadia, kareela, 4556, nsw, 19300121, 4267915
rec-86843-org, annalise, felmingham, 20, kett street, clarence village, , 2850, sa, 19340419, 6733201
rec-56986-org, luke, eyre, 1, creed place, wahronga-lea, caulfield north, 4017, vic, 19681027, 7532508
rec-56627-org, william, nguyen, 601, handcock crescent, st vincent hospital, lulworth, 2160, nsw, 19110621, 1589814
rec-71015-dup-1, webb, jessica, 58, ironbark cerscent, kurrajlng, st clair, 6146, nsw, 19430210, 7829572
rec-458-org, lucas, green, 14, laughton street, avenue road, cann river, 4670, vic, 19690822, 1457747
rec-61041-org, dillon, verner, 180, jacobs street, tarlinup, balwyn north, 2904, tas, 19471205, 3818869
rec-87112-org, max, bacchus, 14, evelyn owen crescent, wearmouth, busby, 2535, qld, 19390523, 4232986
rec-65736-org, matthew, brain, 10, tullaroop street, masonic retirement village, port macquarie, 3124, nsw, 19220407, 8231577
rec-27445-org, chelsea, bishop, 16, cataract street, jaspars, aldershot, 2747, qld, 19960509, 4992068
rec-48215-org, daniel, subramaniam, 14, mugglestone place, lincoln close, campsie, 0880, nsw, 19600418, 5815026
rec-45711-org, michael, leslie, 344, charterisville avenue, sec 1, toukley, 3089, vic, 19571002, 6112419
rec-90563-org, michaela, alderson, 48, wybalena grove, meemar, east melbourne, 2263, nsw, 19570816, 3249240
rec-23146-org, amber, noble, 14, bent street, belaradah, eight mile plains, 7020, nsw, 19250706, 8131635
rec-9360-org, finnbar, white, 4, johnson place, dianella masonic village (cnr cornwell s, bonnyrigg, 3429, vic, 19360207, 1249821
rec-83472-org, wilson, ryan, 4, twamley crescent, taylors creek bridge, carlingford, 3051, nsw, 19881114, 5271601
rec-19436-org, jarrod, kalnins, 46, epacris place, redhill, mothar mountain, 5166, vic, 19381116, 5569173
rec-29725-org, jade, clarke, 15, taylor street, the plateau, malvern, 2228, vic, 19560205, 2920575
rec-17832-org, sophie, gold, 32, gidabal street, the willows, sale, 4413, nsw, 19270211, 6263651
rec-42882-org, michael, deakin, 29, jim pike avenue, berkeley village, greenwith, 2575, qld, 19810203, 4064926
rec-81968-org, chloe, kromwyk, 28, bates street, kodootonga, willetton, 2075, nsw, 19490708, 7543888
rec-92860-org, meg, clarke, 10, norman street, , brighton-le-sands, 2192, qld, 19311210, 5056261
rec-36763-org, ethan, whiteley, 58, ardlethan street, karmont, surfers paradise, 6210, nsw, 19230314, 1597507
rec-43924-org, william, cadman, 23, hickenbotham street, , chiltern, 2615, nsw, , 9634019
rec-65865-org, harriet, nguyen, 96, newman morris circuit, the willows, exeter, 4165, nsw, 19760206, 5963850
rec-56357-org, flynn, plumb, 22, woralul street, , semaphore park, 5041, qld, 19661014, 6860965
rec-67716-org, tahlia, weaver, 2838, boehm close, rsl park, emerald, 3021, nsw, 19780228, 5894535
rec-23205-org, bailey, lowe, 16, currong street, peppercorn lodge, wanneroo, 2077, nsw, 19830828, 5358058
rec-50192-dup-0, alexandra, white, 5, biraban place, diacos caravn prk, gunbower, 2925, nsw, 19170816, 3834593
rec-43817-org, brooke, bradshaw, 351, longstaff street, eriswell park, rosebud, 2615, nsw, 19961102, 4120381
rec-72117-org, phillip, pascoe, 25, the lawns, teasdale park, mackay north, 6123, nsw, 19991010, 2156011
rec-1268-org, zachary, dixon, 1421, mountain circuit, john flynn medical centre, bidwill, 2508, vic, 19450901, 2156566
rec-36063-org, tommy, carmody, 3, eucumbene drive, macamania, morwell, 3814, wa, 19250803, 8919016
rec-97611-org, eden, dolan, 148, beasley street, melita, canley vale, 4518, nsw, 19230708, 3798435
rec-84846-org, jordan, leung, 84, beard place, wattle brae, torquay, 4059, vic, 19670928, 6671209
rec-89525-org, emiily, hawes, 103, sheehan street, parkwood piazza, renown park, 2150, nsw, 19741217, 8518954
rec-59016-org, daniel, cowden, 39, darcy close, home vale, port lincoln, 6050, nsw, , 7904495
rec-41412-org, harriet, musolino, 16, barrallier street, , flaxton, 3463, nsw, 19260309, 9527716
rec-3606-org, fynn, mcfadden, , shean place, john flynn medical centre, berkeley vale, 2264, nsw, 19781220, 1349745
rec-7771-org, shaun, mccarthy, 130, jauncey court, , sea lake, 3153, nsw, 19470819, 7889840
rec-48331-dup-0, bagiley, weiser, 41, lubuma place, walnut grove estate, altona mradows, 3939, vic, 19441029, 3134870
rec-80654-org, julia, fitzpatrick, 2, federal highway, village walk (cnr high s street, broken hill, 3103, nsw, 19381111, 3393938
rec-71686-org, tommy, nguyen, 182, ewing street, principals residence, casula, 3806, qld, 19610404, 9490769
rec-88434-org, zane, thorpe, 97, la perouse street, aprtmnt 55, parramatta, 6005, qld, 19940922, 1316686
rec-55109-org, , tippins, 88, calder crescent, medical centre, toowoomba, 3204, qld, 19340620, 1880649
rec-96532-org, hayden, mckinnell, 3, yarra street, lutheran ret/villa, yarraville, 6281, sa, 19080211, 7271759
rec-46734-org, joshua, lehane, 3, whitelaw street, balmoral garden, glen innes, 3102, sa, 19041006, 2556997
rec-89710-dup-0, erin, astoey, 1, aspinall street, rose vale, ulladulla, 7250, nsw, 19781024, 6277311
rec-26444-dup-0, max, campbell, 32, officer crescent, granny flat 2, glencoe west, 2289, nsw, 19140719, 3615225
rec-16639-dup-0, christopjher, whkte, 303, villa 444 the village glen, leichhardt street, oyster bmay, 3172, sa, 19830532, 5490472
rec-89374-org, lachlan, statton, 19, churchill way, ferndale, lismore, 2257, sa, 19920919, 8656614
rec-3742-org, sophie, smallacombe, 32, bernacchi street, chateau tahbilk, albion park rail, 2540, vic, 19600307, 3647803
rec-64925-org, teneille, hand, 19, hodgson crescent, koonawarra merino stud, campbell town, 4506, sa, 19671016, 6674823
rec-26814-org, jai, huxley, 9, brereton street, birrabilla, maryborough, 4701, nsw, 19300131, 8251179
rec-249-org, sam, trenerry, 15, , hd dalrymple, bittern, 2092, sa, 19440901, 6398443
rec-73750-org, india, culph, 5, ashburton circuit, mandurah retirement village, mount pleasant, 7010, tas, 19251030, 1398750
rec-66227-org, lucy, noble, 30, a'beckett street, umina park, innaloo, 3561, nsw, 19631027, 8354888
rec-14845-org, kelsea, lipsett, 421, vagabond crescent, anukana, avoca north, 4879, qld, 19960220, 1171365
rec-23307-dup-0, jake, barbuto, 22, gosse street, , dawesville, 2508, nsw, 19200916, 1717600
rec-52508-org, nikita, crouch, 10, mcgivern crescent, winton, moorooka, 4306, nsw, 19840906, 2777691
rec-95821-org, caleb, hewetson, 20, bourchier close, jaholma park, regents park, 6065, vic, 19320805, 4612916
rec-18325-org, lachlan, morrison, 29, currong street, lansdowne, balhannah, 7170, vic, 19450803, 9137149
rec-9596-org, sebastian, stronach, 18, taylor street, albion heights, ngunnawal, 5302, vic, 19730406, 3210796
rec-69324-org, alexander, myriti, 36, swanton street, kalyra heights, carnegie, 6169, wa, 19780202, 6940204
rec-35153-org, holly, virag, 24, moore street, , mannum, 2209, act, 19710814, 2479322
rec-39635-org, alia, ebert, 73, nott street, halfmoon station, labrador, 6029, sa, 19020801, 8166620
rec-59753-org, ebony, reid, 140, waller crescent, stokes crossing, concord west, 2039, wa, 19421207, 1301398
rec-69122-org, matthew, white, 2, beilby place, cottonwood, regents park, 3338, vic, 19241117, 7686280
rec-23668-dup-0, archie, noble, 4, moore tsreet, hundred wokurna, deer park, 5166, qld, 19400530, 9536322
rec-33622-dup-1, chloe, tsinivits, 56, melrose drive, farmhouse, rosebery, 2602, nsw, 19660923, 4915003
rec-20840-org, sienna, brain, 59, coxen street, kooltuo, camden, 6109, qld, 19081108, 8707685
rec-96203-org, cameron, hillary, 19, verbrugghen street, , parkdale, 2640, nsw, 19080727, 5432179
rec-86640-org, cassandra, flaus, 131, girdlestone circuit, tatyara, coolaroo, 2166, wa, 19500131, 9676394
rec-79168-org, ethan, coleman, 5, pollock street, , islington, 5171, nsw, 19691214, 7087729
rec-77761-org, nicholas, jessup, 50, fitzherbert place, moonylora, north rocks, 3055, nsw, 19541013, 2976517
rec-98932-org, harrison, piliczky, 52, antill street, arcadia, , 6230, vic, 19641011, 2399329
rec-77029-dup-0, monique, dreckow, 22, bunavon, dallachys treet, floreat, 4209, nsw, 19921226, 1376551
rec-30725-org, finn, maier, 3, pudney street, diamond sands, ourimbah, 6225, qld, 19450915, 8748429
rec-33799-org, indiana, aiston, 2, warrego circuit, tulakan, clifton park, 4122, qld, 19771013, 7722136
rec-64426-org, eliza, vincent, 39, kallara close, billsblock, brighton, 5095, , 19980909, 5543879
rec-36244-org, macy, kelley, 14, laseron place, hmas, para hills, 2170, tas, 19470727, 3135557
rec-44328-org, caitlin, campbell, 45, cottrell place, caprion retiement, mount riverview, 3206, nsw, 19610915, 5606148
rec-62740-org, julia, heyes, 20, jessup street, lorrha, cleveland, 7252, vic, 19481107, 2840157
rec-37273-org, bayley, matson, 30, yanda street, lamington national, st agnes, 2560, qld, 19220921, 1975826
rec-16268-org, ethan, kalma, 33, lewis luxton avenue, the mall, landsborough, 2614, nsw, 19880618, 3705644
rec-20071-org, emiily, gerritsen, 13, bugden avenue, rosedale, oakleigh, 3621, nsw, 19491122, 3354380
rec-72386-org, georgia, campbell, 56, timbarra crescent, terrace caravan park, boulder, 4502, qld, 19561127, 9863229
rec-4982-org, finley, bowerman, 18, collocott crescent, villa 2, marsden, 2032, nsw, 19280806, 8011431
rec-59064-dup-0, rilay, biship, 24, bickleyclose, , acacia ridge, 2112, vic, 19870728, 4624973
rec-16080-org, samantha, warnett, 56, blacklock close, arnwood, springvale south, 4740, tas, 19880226, 3502938
rec-16929-org, serena, sherriff, 19, hotham crescent, biboohra downs, arana hills, 3168, qld, 19160409, 9636399
rec-8520-org, sarah, margush, 56, marconi crescent, mount patrick, burwood, 4060, qld, 19800921, 6062468
rec-62571-org, olivia, humphreys, 13, tregellas crescent, , mount eliza, 4034, qld, 19731007, 9078129
rec-45488-org, rachel, bishop, 46, fitzmaurice street, rocky bend, burwood, 2042, sa, 19480220, 7278247
rec-37886-org, mikayla, garcia, 27, max henry crescent, greenslopes, albury east, 2526, wa, 19780621, 8089329
rec-17283-dup-0, cooper, allanby, 10, gollan street, st francis vlge, paraburdoo, 2546, nsw, 19851118, 3037010
rec-64013-dup-1, jonah, finlay, 166, byrne street, , macgregor, 4223, vic, 19680418, 5664368
rec-99211-dup-0, chelsea, ryan, 108, cromwellc ircuit, , theodore, 4165, qld, 19191201, 2950739
rec-38024-org, zara, jolly, 19, reveley crescent, warrol, eastwood, 5092, vic, 19830929, 4552633
rec-70563-org, alisha, reid, 6, murchison street, flowery dell, lindfield, 2750, nsw, 19840227, 6617569
rec-7119-org, harrison, monteleone, 266, esau place, yarrabee, ingham, 2757, vic, 19290529, 1446454
rec-60347-org, , nicolle, 2, kilby crescent, noosa village shopping centre, thornbury, 4810, nsw, 19830713, 1442173
rec-64502-dup-0, mitchell, moody, 48, pinkerton circuit, sunny grees, wisanger, 2153, sa, 19260706, 6574097
rec-79970-org, , easlea, 6, mclaren crescent, glenmore, mentone, 5255, qld, 19580529, 3589767
rec-47387-org, niamh, mason, 35, shumack street, west bank, bayswater, 7250, qld, 19510210, 4946934
rec-43795-org, charlotte, de bono, 2, monaro crescent, gowan, tingalpa, 6027, sa, 19360807, 2464450
rec-46654-org, noah, dieckmann, 11, duffy street, ardersier, bongaree, 4812, nsw, 19490906, 6177861
rec-49745-org, noah, boyle, 111, bimberi crescent, brentwood vlge, karragullen, 6479, nsw, 19330818, 2169452
rec-24256-org, joshua, bishop, 15, carina street, mamaregu, south melbourne, 3031, nsw, 19881222, 8047483
rec-68254-dup-0, , etheryidge, 130, power stdreet, cummins, mount evelyn, 3028, vic, 19381216, 9986911
rec-4866-org, jacob, hennicke, 5, downward place, shanan brae, ivanhoe, 2770, nsw, 19100104, 8965763
rec-54232-org, luke, webb, 280, keartland street, braebourne, ardeer, 2250, vic, 19470204, 4946740
rec-51317-org, lily, bishop, 204, namatjira drive, chippendale village, bassendean, 4718, vic, 19900316, 1828727
rec-33918-org, isabella, dudgeon, 98, launceston street, kantz, drummond north, 5032, vic, 19210605, 8341121
rec-397-org, harry, menzies, 63, taronga place, earl haven, wangaratta, 7260, nsw, 19051228, 1183758
rec-44217-org, isabella, kerney, 4, eldridge street, principals residence, st kilda east, 3805, qld, 19020702, 1035324
rec-69698-org, jade, pegg, 7, bungonia street, jameson park upper swan, ascot, 2010, qld, 19021022, 6063439
rec-1397-org, chloe, shepherd, 51, tanjil loop, st vincents medical centre, st lucia, 2076, wa, 19120427, 7603855
rec-85924-org, emiily, thredgold, 4, beirne street, kersley mews, sylvania, 3073, sa, 19700716, 9048990
rec-51005-org, cassandra, montz, 21, tatchell street, koenarl, noble park, 3285, nsw, 19150425, 1700043
rec-22503-dup-0, samqel, lobzin, 1, richardson circuit, , cook, 2337, act, 19081112, 9514588
rec-49638-org, lauren, vincent, 139, hannan crescent, lakeside gardens tallwoods village, mayfield, 2230, nsw, 19580630, 2995928
rec-53685-dup-1, jayden, peavhey, 28, earle place, the mieadows, cooma, 5072, nsw, 19490604, 8145438
rec-84407-org, ryan, lodge, 128, alice jackson crescent, woodrose, moura, 2322, vic, 19860903, 8592774
rec-30905-org, benjamin, moody, 78, clive steele avenue, beachwood, lalor, 3444, vic, 19811017, 8021399
rec-10368-org, ben, shepherdson, 7, nambir court, fairholme, albion park rail, 3150, vic, 19940920, 4427880
rec-83998-org, benjamin, lock, 409, molesworth street, , kingston, 2577, vic, 19250807, 3615640
rec-38200-org, bailey, steinert, 3, ayers street, lords house, toowoomba, 3629, nsw, 19430429, 2234533
rec-39873-dup-1, alexandra, dolan, 7, syme rs street, newville cottage park, albany creek, 2351, nsw, 19300605, 2306839
rec-41759-org, , grubb, 3, bourne street, , cooks hill, 3021, vic, 19920227, 5874866
